timestamp,regime,special_event,confidence,allowed_sides,bias,lev_mult,size_mult,rsi_5m,rsi_1h,mfi_5m,bb_width,atr_pct,mom_1h,mom_4h,vol_trend,consec_green,consec_red
2026-02-25T19:15:00.391Z,UPTREND,NONE,66.0,LONG_ONLY,LONG,1.20,1.00,53.40,86.32,50.21,1.7690,0.3493,0.0251,0.0000,FLAT,0,3
2026-02-25T19:16:00.169Z,UPTREND,NONE,66.0,LONG_ONLY,LONG,1.20,1.00,53.31,86.32,50.22,1.7692,0.3490,0.1103,0.0000,FLAT,0,3
2026-02-25T19:22:01.319Z,UPTREND,NONE,66.0,LONG_ONLY,LONG,1.20,1.00,53.24,86.32,51.37,1.6876,0.3375,0.0332,0.0000,FLAT,0,4
2026-02-25T19:27:17.918Z,UPTREND,NONE,73.5,LONG_ONLY,LONG,1.20,1.00,59.27,86.32,51.40,1.6602,0.3417,-0.1916,0.0000,FLAT,1,0
2026-02-25T19:33:28.347Z,UPTREND,NONE,48.0,BOTH,LONG,1.00,1.00,54.43,86.32,52.89,1.6171,0.3389,-0.5493,0.0000,FLAT,0,1
2026-02-25T19:39:27.361Z,UPTREND,NONE,30.0,BOTH,LONG,1.00,1.00,49.77,77.83,47.12,1.5885,0.3375,-0.8531,0.0000,FLAT,0,2
2026-02-25T19:45:00.872Z,UPTREND,NONE,30.0,BOTH,LONG,1.00,1.00,51.36,77.83,44.06,1.5273,0.3268,-0.6351,0.0000,FLAT,1,0
2026-02-25T19:51:00.929Z,UPTREND,NONE,52.5,BOTH,LONG,1.00,1.00,57.63,77.83,37.98,1.2393,0.3125,-0.2854,0.0000,FALLING,3,0
2026-02-25T19:57:01.637Z,UPTREND,NONE,52.5,BOTH,LONG,1.00,1.00,56.63,77.83,30.35,1.2042,0.3021,-0.4465,2.5615,FALLING,0,1
2026-02-25T20:03:27.421Z,UPTREND,NONE,52.5,BOTH,LONG,1.00,1.00,56.17,77.83,34.80,1.1459,0.2893,-0.1760,2.3500,FALLING,0,2
2026-02-25T20:09:00.021Z,UPTREND,NONE,45.0,BOTH,LONG,1.00,1.00,51.74,77.83,37.42,1.1498,0.2898,-0.1569,2.1185,FALLING,0,3
2026-02-25T20:14:11.022Z,TRANSITION,NONE,22.5,BOTH,NEUTRAL,0.70,1.00,51.03,77.83,38.26,1.1306,0.2782,-0.2832,1.6320,FALLING,0,4
2026-02-25T20:20:19.346Z,CHOP,NONE,13.5,NONE,NEUTRAL,0.50,1.00,41.96,77.83,35.48,1.2169,0.2886,-0.2820,1.3181,FALLING,0,5
2026-02-25T20:26:25.933Z,TRANSITION,NONE,25.5,BOTH,NEUTRAL,0.70,1.00,47.65,77.83,61.26,0.9973,0.2716,-0.1600,1.5125,FLAT,2,0
2026-02-25T20:32:00.447Z,UPTREND,NONE,37.5,BOTH,LONG,1.00,1.00,49.72,77.83,67.39,0.9251,0.2629,0.2817,1.6741,FLAT,3,0
2026-02-25T20:37:00.607Z,UPTREND,NONE,63.0,LONG_ONLY,LONG,1.20,1.00,59.90,79.42,71.43,0.8696,0.2851,0.2472,1.6267,RISING,4,0
