open_time,close_time,side,entry_price,exit_price,quantity,leverage,margin,pnl,pnl_pct,fees,reason,capital_after
2026-02-25T04:26:59.786Z,2026-02-25T04:50:41.863Z,LONG,65512.90,65450.00,0.005724,15,25.00,-0.51,-2.05,0.1499,SL,499.49
2026-02-25T04:50:59.363Z,2026-02-25T04:55:53.124Z,SHORT,65455.10,65375.70,0.005723,15,24.97,0.30,1.22,0.1498,TP,499.79
2026-02-25T04:55:59.455Z,2026-02-25T04:57:07.496Z,SHORT,65382.90,65418.40,0.005733,15,24.99,-0.35,-1.42,0.1500,SL,499.44
2026-02-25T04:58:00.618Z,2026-02-25T04:58:27.518Z,SHORT,65403.10,65440.90,0.005727,15,24.97,-0.37,-1.47,0.1499,SL,499.07
2026-02-25T04:59:59.175Z,2026-02-25T05:05:13.170Z,SHORT,65419.30,65479.00,0.005722,15,24.95,-0.49,-1.98,0.1498,SL,498.58
2026-02-25T05:10:58.970Z,2026-02-25T05:14:05.007Z,SHORT,65383.80,65302.40,0.005719,15,24.93,0.32,1.27,0.1495,TP,498.90
2026-02-25T05:15:00.933Z,2026-02-25T05:16:07.810Z,SHORT,65306.20,65345.40,0.005730,15,24.94,-0.37,-1.51,0.1497,SL,498.53
2026-02-25T05:18:00.381Z,2026-02-25T05:21:52.005Z,SHORT,65314.90,65246.80,0.005724,15,24.93,0.24,0.97,0.1495,TP,498.77
2026-02-25T05:22:00.017Z,2026-02-25T05:24:12.628Z,SHORT,65232.60,65156.80,0.005734,15,24.94,0.29,1.15,0.1495,TP,499.05
2026-02-25T05:25:00.191Z,2026-02-25T05:26:34.208Z,SHORT,65168.90,65220.20,0.005743,15,24.95,-0.44,-1.79,0.1498,SL,498.61
2026-02-25T05:27:59.938Z,2026-02-25T05:32:19.744Z,SHORT,65185.70,65098.70,0.005737,15,24.93,0.35,1.41,0.1495,TP,498.96
2026-02-25T05:32:58.987Z,2026-02-25T05:35:44.627Z,SHORT,65052.40,64933.30,0.005753,15,24.95,0.54,2.15,0.1495,TP,499.49
2026-02-25T05:35:59.773Z,2026-02-25T05:36:39.399Z,SHORT,64938.70,64993.90,0.005769,15,24.97,-0.47,-1.88,0.1499,SL,499.02
2026-02-25T05:38:00.016Z,2026-02-25T05:38:37.928Z,SHORT,64811.90,64886.40,0.003850,10,24.95,-0.39,-1.55,0.0999,SL,498.64
2026-02-25T05:39:59.354Z,2026-02-25T05:41:28.338Z,SHORT,64883.20,64745.90,0.005764,15,24.93,0.64,2.58,0.1494,TP,499.28
